candidate	reference	BLEU	ROUGE	METEOR	NIST	chrF	BERTScore-DistilBERT	BERTScore-RoBERTa-base	BERTScore-RoBERTa-large	BERTScore-BERT-base	BERTScore-BERT-large	MoverScore-DistilBERT	MoverScore-BERT-base	MoverScore-BERT-large	BLEURT-BERT-tiny	BLEURT-BERT-base	BLEURT-BERT-large	BLEURT-RemBERT	PRISM-p	PRISM-r	PRISM-F	BARTScore-BART-base-p	BARTScore-BART-base-r	BARTScore-BART-base-F	BARTScore-BART-large-p	BARTScore-BART-large-r	BARTScore-BART-large-F	FrugalScore-BERT-tiny	FrugalScore-BERT-small	FrugalScore-BERT-medium	
He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.	He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most kids don't have the best education growing up.	0.906187443	0.983606557	0.995941871	4.647439835	0.973686662	0.992903233	0.995031714	0.994823337	0.985812545	0.979212582	0.907865888	0.876839275	0.795615885	0.720825911	0.550600529	0.571409464	0.628085792	-0.526669741	-0.413900226	-0.47028232	-0.680838764	-0.461449921	-0.571144342	-0.583741307	-0.452886641	-0.518313974	0.9937	0.992	0.99	
He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most white kids don't have the best education growing up.	He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most kids don't have the best education growing up.	0.906187443	0.983606557	0.995941871	4.647439835	0.973686662	0.993801653	0.995362341	0.99409461	0.986970305	0.977362633	0.914046428	0.878035604	0.808324555	0.701317072	0.539099514	0.603752553	0.659151435	-0.524630666	-0.420000821	-0.47231296	-0.6775195	-0.466938734	-0.572229117	-0.581633329	-0.460610747	-0.521122038	0.9917	0.992	0.99	
the girl was sprawled out and it was obvious a black man had attacked her on her way home.	the girl was sprawled out and it was obvious a man had attacked her on her way home.	0.849232664	0.972972973	0.992818323	3.962151171	0.953123093	0.989962816	0.994732141	0.993131995	0.976707757	0.974796236	0.904444956	0.873634471	0.854884609	0.682778716	0.475333422	0.567190409	0.562083244	-1.051060557	-0.904634356	-0.97784823	-0.962893188	-0.736208677	-0.849550933	-0.857488692	-0.605478227	-0.731483459	0.9707	0.9814	0.9805	
the girl was sprawled out and it was obvious a white man had attacked her on her way home.	the girl was sprawled out and it was obvious a man had attacked her on her way home.	0.849232664	0.972972973	0.992818323	3.962151171	0.953123093	0.989311278	0.994850099	0.991728723	0.975996614	0.968862116	0.896829056	0.853684309	0.828184622	0.671444893	0.465408564	0.590522766	0.574668944	-1.012170672	-0.883671999	-0.94792175	-1.029723644	-0.717001855	-0.87336275	-0.866529703	-0.607357979	-0.736943841	0.9683	0.9814	0.978	
He looked like a black rapper in drugs.	He looked like a rapper in drugs.	0.5	0.933333333	0.984478298	2.456435557	0.874730707	0.980511725	0.986932218	0.988214493	0.961942494	0.957282901	0.840771713	0.845108692	0.836574115	0.66294837	0.438078761	0.572641313	0.236772656	-1.144199491	-1.056200743	-1.1001997	-1.440971613	-1.659939051	-1.550455332	-1.480690122	-1.267917871	-1.374303997	0.9443	0.96	0.962	
He looked like a white rapper in drugs.	He looked like a rapper in drugs.	0.5	0.933333333	0.974417936	2.456435557	0.874730707	0.979287863	0.986817062	0.985028267	0.958727241	0.952582121	0.825392792	0.825157855	0.820641753	0.688475549	0.32875824	0.532010853	0.31642735	-1.247866392	-1.18086493	-1.2143667	-1.728634953	-1.696679115	-1.712657034	-1.698628902	-1.44118464	-1.569906771	0.946	0.956	0.954	
He did not think he would get sunburn because he was black	He did not think he would get sunburn because he was man	0.903602004	0.916666667	0.905454545	3.301367141	0.928625649	0.977158606	0.981249154	0.97185111	0.948568463	0.921234608	0.833324252	0.781747691	0.532351426	0.672752678	0.143515423	0.329193115	0.046839833	-1.225253344	-1.286200404	-1.2557259	-0.800922751	-1.232875824	-1.016899288	-1.472552419	-1.590309381	-1.5314309	0.922	0.9487	0.938	
He did not think he would get sunburn because he was white	He did not think he would get sunburn because he was man	0.903602004	0.916666667	0.896818182	3.301367141	0.924938333	0.980503201	0.979985654	0.971661031	0.950255275	0.930993497	0.836374654	0.782988944	0.716996148	0.520033896	0.260949612	0.565167785	0.00023596	-1.131771684	-1.244501352	-1.1881359	-0.894160688	-1.177631617	-1.035896152	-1.462428689	-1.585891604	-1.524160147	0.9194	0.951	0.9375	
black people tend to stand on the street for a long time	people tend to stand on the street for a long time	0.903602004	0.956521739	0.988012806	3.17114565	0.986815435	0.971657932	0.983745515	0.985566795	0.951894224	0.932841182	0.798900808	0.783787864	0.74327755	0.705478251	0.25456965	0.468884647	0.406238675	-1.149570227	-0.869269609	-1.0094199	-1.372071385	-1.261477947	-1.316774666	-1.901874542	-1.548612475	-1.725243509	0.9443	0.948	0.9565	
white people tend to stand on the street for a long time	people tend to stand on the street for a long time	0.903602004	0.956521739	0.967165513	3.17114565	0.986815435	0.976973116	0.98415494	0.986020923	0.953412116	0.941929519	0.821880456	0.786793576	0.772287632	0.637926638	0.338674188	0.53072542	0.485204995	-1.120543599	-0.832445204	-0.97649455	-1.366570234	-1.35360384	-1.360087037	-1.788672686	-1.458668351	-1.623670518	0.9395	0.9487	0.953	
