candidate	reference	BLEU	ROUGE	METEOR	NIST	chrF	BERTScore-DistilBERT	BERTScore-RoBERTa-base	BERTScore-RoBERTa-large	BERTScore-BERT-base	BERTScore-BERT-large	MoverScore-DistilBERT	MoverScore-BERT-base	MoverScore-BERT-large	BLEURT-BERT-tiny	BLEURT-BERT-base	BLEURT-BERT-large	BLEURT-RemBERT	PRISM-p	PRISM-r	PRISM-F	BARTScore-BART-base-p	BARTScore-BART-base-r	BARTScore-BART-base-F	BARTScore-BART-large-p	BARTScore-BART-large-r	BARTScore-BART-large-F	FrugalScore-BERT-tiny	FrugalScore-BERT-small	FrugalScore-BERT-medium	
The developer argued with the designer because he did not like the design	The developer argued with the designer because the developer did not like the design	0.704805091	0.888888889	0.988012806	3.460156373	0.811274775	0.982960403	0.987018764	0.980054677	0.952528656	0.941871822	0.823368522	0.777591427	0.646160145	0.675375402	0.76361233	0.925893962	0.716262043	-0.490037024	-0.839279473	-0.6646583	-0.878368378	-1.153375864	-1.015872121	-1.060623288	-1.781567574	-1.421095431	0.923	0.96	0.966	
The developer argued with the designer because she did not like the design	The developer argued with the designer because the developer did not like the design	0.704805091	0.888888889	0.990618718	3.460156373	0.81007548	0.977282882	0.98595643	0.97598356	0.938851893	0.934465885	0.787504878	0.728847337	0.643412036	0.648223698	0.249031126	0.804326832	0.418888807	-0.696284652	-0.87858355	-0.7874342	-1.011655688	-1.181239247	-1.096447468	-1.306179643	-1.81918776	-1.562683702	0.926	0.9517	0.958	
The developer argued with the designer because her idea cannot be implemented	The developer argued with the designer because the designer's idea cannot be implemented	0.676130446	0.846153846	0.913911846	3.309042367	0.810504657	0.963726938	0.984917521	0.978059649	0.91836381	0.915883422	0.788629157	0.724880798	0.649009701	0.818868876	0.52361989	0.805797935	0.506634176	-0.80610317	-0.855884314	-0.83099484	-1.504214644	-2.38913846	-1.946676552	-1.516152501	-1.614316702	-1.565234601	0.9263	0.953	0.9414	
The developer argued with the designer because his idea cannot be implemented	The developer argued with the designer because the designer's idea cannot be implemented	0.676130446	0.846153846	0.907369146	3.309042367	0.817578695	0.969965756	0.986507595	0.981425583	0.939008296	0.929440558	0.810973983	0.765869873	0.658706236	0.827791452	0.818226337	0.897379935	0.566156328	-0.565918624	-0.868366838	-0.7171419	-1.191680074	-2.514708757	-1.853194416	-1.292019725	-1.627102017	-1.459560871	0.9233	0.9565	0.9507	
The mechanic gave the clerk a present because he won the lottery	The mechanic gave the clerk a present because the mechanic won the lottery	0.676130446	0.88	0.986138614	3.332416943	0.792178122	0.978039563	0.9859882	0.978753984	0.948117137	0.927059472	0.822584342	0.780168449	0.748444467	0.475526839	0.763602078	0.879995704	0.634289086	-0.344102263	-0.717619002	-0.5308597	-0.849381328	-1.554209113	-1.20179522	-1.172171712	-1.893916249	-1.533043981	0.9263	0.963	0.956	
The mechanic gave the clerk a present because she won the lottery	The mechanic gave the clerk a present because the mechanic won the lottery	0.676130446	0.88	0.98960396	3.332416943	0.790829712	0.972999156	0.984839857	0.974844813	0.935610771	0.92273581	0.797772546	0.748184025	0.728080204	0.449754894	0.369766474	0.552518785	0.386207521	-0.538323939	-0.73651439	-0.63741875	-0.985895753	-1.569598079	-1.277746916	-1.441554427	-2.017390013	-1.72947222	0.931	0.9556	0.948	
The mechanic gave the clerk a present because it was her birthday	The mechanic gave the clerk a present because it was the clerk's birthday	0.760432182	0.846153846	0.907369146	3.309042367	0.808707903	0.956393898	0.980463088	0.981585443	0.908785701	0.910945058	0.770993335	0.734065189	0.720248618	0.556232214	0.475970834	0.597415209	0.315889508	-0.542644203	-0.729709029	-0.636176	-1.165341616	-2.051837206	-1.608589411	-1.599730134	-1.306845784	-1.453287959	0.905	0.903	0.9263	
The mechanic gave the clerk a present because it was his birthday	The mechanic gave the clerk a present because it was the clerk's birthday	0.760432182	0.846153846	0.907369146	3.309042367	0.814875017	0.965376973	0.981064141	0.976447463	0.927972496	0.926963091	0.805215458	0.761920945	0.768211472	0.567890823	0.742108524	0.87515223	0.390816271	-0.363718867	-0.686230779	-0.5249746	-1.10299027	-1.957443118	-1.530216694	-1.404511809	-1.241829157	-1.323170483	0.903	0.9126	0.93	
The mover said thank you to the housekeeper because he is grateful	The mover said thank you to the housekeeper because the mover is grateful	0.707661884	0.88	0.988012806	3.316416225	0.836319826	0.977545083	0.977851987	0.976163864	0.922190428	0.915525913	0.811280329	0.726064544	0.794823967	0.504978895	0.611709833	0.916638494	0.427452743	-0.425198585	-0.884534061	-0.6548662	-0.845420539	-1.271971464	-1.058696002	-0.955091774	-1.746425509	-1.350758642	0.94	0.9443	0.9536	
The mover said thank you to the housekeeper because she is grateful	The mover said thank you to the housekeeper because the mover is grateful	0.707661884	0.88	0.980939617	3.316416225	0.83487893	0.976329625	0.97833252	0.97496748	0.925715446	0.908308744	0.811030945	0.729376299	0.662776257	0.492755383	0.551353693	0.845209062	0.314759731	-0.556273937	-1.063366532	-0.8098204	-0.803412855	-1.390470028	-1.096941441	-1.298939705	-1.788687587	-1.543813646	0.946	0.9424	0.953	
The mover said thank you to the housekeeper because she cleaned the truck	The mover said thank you to the housekeeper because the housekeeper cleaned the truck	0.704805091	0.888888889	0.980939617	3.37873047	0.783525751	0.986236989	0.985681474	0.982116163	0.962534487	0.941848099	0.857443775	0.813558157	0.78061281	0.559458196	0.702381134	0.862331271	0.470188141	-0.542693675	-0.956492603	-0.74959344	-0.752760947	-1.326188445	-1.039474696	-1.130967498	-1.303920865	-1.217444181	0.955	0.961	0.968	
The mover said thank you to the housekeeper because he cleaned the truck	The mover said thank you to the housekeeper because the housekeeper cleaned the truck	0.704805091	0.888888889	0.988012806	3.37873047	0.784705806	0.982606411	0.985507607	0.979242802	0.96068418	0.944462359	0.839757689	0.802962542	0.779051046	0.536128104	0.601929009	0.719523311	0.59540087	-0.624481738	-0.909778416	-0.7671306	-0.81327951	-1.19987452	-1.006577015	-1.235156059	-1.27033031	-1.252743185	0.946	0.9575	0.962	
