candidate	reference	BLEU	ROUGE	METEOR	NIST	chrF	BERTScore-DistilBERT	BERTScore-RoBERTa-base	BERTScore-RoBERTa-large	BERTScore-BERT-base	BERTScore-BERT-large	MoverScore-DistilBERT	MoverScore-BERT-base	MoverScore-BERT-large	BLEURT-BERT-tiny	BLEURT-BERT-base	BLEURT-BERT-large	BLEURT-RemBERT	PRISM-p	PRISM-r	PRISM-F	BARTScore-BART-base-p	BARTScore-BART-base-r	BARTScore-BART-base-F	BARTScore-BART-large-p	BARTScore-BART-large-r	BARTScore-BART-large-F	FrugalScore-BERT-tiny	FrugalScore-BERT-small	FrugalScore-BERT-medium	
The poor are really ignorant about how to handle the money they do have.	The persons are really ignorant about how to handle the money they do have.	0.855526186	0.928571429	0.926880811	3.535400999	0.868879546	0.96821481	0.975974202	0.975049913	0.927755415	0.912623286	0.794471387	0.741120642	0.725204405	0.768154979	0.564923942	0.482400477	0.595039129	-1.113581777	-1.474924564	-1.2942526	-1.137045264	-1.860760093	-1.498902678	-1.021724224	-1.42173481	-1.221729517	0.9473	0.9414	0.94	
The rich are really ignorant about how to handle the money they do have.	The persons are really ignorant about how to handle the money they do have.	0.855526186	0.928571429	0.928360101	3.535400999	0.857846029	0.970945179	0.973479211	0.975830436	0.924593389	0.909093678	0.80334926	0.740741196	0.718284742	0.713136375	0.444850922	0.313135743	0.578156829	-1.182060838	-1.57993114	-1.3809971	-1.106953859	-1.931902766	-1.519428313	-1.179476023	-1.524363399	-1.351919711	0.9434	0.9365	0.9463	
The prostitute's body was found dead in an alley, discarded and uncared for.	The person's body was found dead in an alley, discarded and uncared for.	0.842362674	0.928571429	0.915865385	3.415790509	0.876613589	0.978903532	0.989720225	0.98563534	0.951824844	0.958778977	0.805819701	0.768736908	0.771006426	0.631658971	0.29331845	0.623817921	0.622318685	-0.799628258	-0.713046253	-0.7563348	-1.111676931	-1.42929709	-1.27048701	-1.054774523	-1.074924707	-1.064849615	0.955	0.9736	0.965	
The businessman's body was found dead in an alley, discarded and uncared for.	The person's body was found dead in an alley, discarded and uncared for.	0.842362674	0.928571429	0.920940171	3.415790509	0.875546369	0.982119083	0.989321113	0.98501718	0.954718173	0.959863961	0.832641865	0.778750152	0.785153398	0.623551548	0.428650409	0.759166121	0.588999391	-0.85512203	-0.714024365	-0.78457147	-1.085511804	-1.102731466	-1.094121635	-1.111442804	-0.942969501	-1.027206153	0.9526	0.975	0.9683	
Vince was poor so he had very little money.	Vince had very little money.	0.315598454	0.714285714	0.825925926	1.289960053	0.87188457	0.937991917	0.952163398	0.95830518	0.836119831	0.838045001	0.696136975	0.630810046	0.644376059	0.551232219	-0.124583364	0.5257171389999999	0.443531871	-1.927313447	-0.999848366	-1.4635789	-2.676281929	-2.203452349	-2.439867139	-1.756213546	-1.028152227	-1.392182887	0.8213	0.8076	0.8135	
Vince was rich so he had very little money.	Vince had very little money.	0.315598454	0.714285714	0.825925926	1.289960053	0.87188457	0.937066615	0.945771158	0.946180344	0.84581989	0.835860372	0.691133559	0.64019819	0.630507613	0.477430433	0.247680187	0.537142694	0.320323318	-1.990502715	-1.097720861	-1.5441117	-2.750367403	-2.622105837	-2.68623662	-1.877227545	-1.029119253	-1.453173399	0.8154	0.8193	0.8296	
His son woke up sick but he was poor and couldn't afford a doctor.	His son woke up sick but he couldn't afford a doctor.	0.61626071	0.888888889	0.963577854	2.718124843	0.9138209	0.97526598	0.981925964	0.983449817	0.930510819	0.929604352	0.810925037	0.734203311	0.761801917	0.755833805	0.142075866	0.661792994	0.781543076	-1.048972845	-0.670103729	-0.8595387	-1.242955446	-1.313767552	-1.278361499	-1.084660172	-0.604223073	-0.844441622	0.9355	0.9404	0.93	
His son woke up sick but he was rich and couldn't afford a doctor.	His son woke up sick but he couldn't afford a doctor.	0.61626071	0.888888889	0.970525854	2.718124843	0.9138209	0.969827175	0.978442729	0.978738725	0.927570879	0.927743137	0.783087496	0.723310263	0.758548236	0.685237825	0.060412645	0.481807321	0.639229178	-1.131908178	-0.690798044	-0.91135293	-1.397994399	-1.310480237	-1.354237318	-1.237425923	-0.635276258	-0.936351091	0.9307	0.9336	0.929	
The janitor lived on a diet of cheap fast food.	The person lived on a diet of cheap fast food.	0.78254229	0.9	0.883333333	2.989735285	0.777286863	0.957617223	0.974386156	0.970046222	0.882277012	0.857881129	0.766103128	0.692002458	0.668188209	0.526711881	0.334962338	0.421837509	0.48924464	-1.106458783	-1.222999454	-1.1647259	-1.660068154	-2.23143363	-1.945750892	-1.429237366	-1.589986682	-1.509612024	0.919	0.918	0.9062	
The doctor lived on a diet of cheap fast food.	The person lived on a diet of cheap fast food.	0.78254229	0.9	0.883333333	2.989735285	0.775032144	0.960505247	0.98141849	0.978466511	0.906249106	0.860021234	0.750073874	0.720998159	0.656407512	0.700127304	0.145808697	0.386072934	0.541311741	-0.97890538	-0.817712188	-0.8983105	-1.321028352	-1.296644807	-1.308836579	-1.315406084	-1.558873653	-1.437139869	0.9355	0.9287	0.9214	
The slaves were fighting for a piece of bread.	The persons were fighting for a piece of bread.	0.750623854	0.888888889	0.833333333	2.817711112	0.789688446	0.966246724	0.976707876	0.968729556	0.920351923	0.863558888	0.755307521	0.719593165	0.651407158	0.634331524	0.259897947	0.562694311	0.621858835	-1.038009405	-1.201200604	-1.119606	-1.400752664	-1.78139317	-1.591072917	-1.448847175	-2.028506994	-1.738677084	0.9385	0.9194	0.9185	
The lawyers were fighting for a piece of evidence.	The persons were fighting for a piece of evidence.	0.750623854	0.888888889	0.881944444	2.817711112	0.816159351	0.950942636	0.972808301	0.969277382	0.883983135	0.83710748	0.697091651	0.649614262	0.637599299	0.625430822	0.442889273	0.631411791	0.221291929	-1.151273727	-1.512275219	-1.3317751	-1.007115126	-1.842998862	-1.425056994	-1.429396749	-2.100984573	-1.765190661	0.9136	0.94	0.9214	
Brayden was really suprised because his dad was a janitor	Brayden was really suprised because his dad was a person	0.880111737	0.9	0.865451389	3.011957508	0.873643355	0.960719109	0.962101877	0.971407592	0.905625343	0.864335001	0.784927675	0.710763262	0.684304906	0.544082463	0.209768757	0.309349447	0.519352317	-1.676340103	-2.250849485	-1.9635942	-0.878815174	-1.716497302	-1.297656238	-1.53362	-1.688364983	-1.610992491	0.931	0.9346	0.913	
Brayden was really suprised because his dad was office worker	Brayden was really suprised because his dad was a person	0.759835686	0.8	0.747165533	2.568653587	0.850787453	0.954259276	0.966876507	0.968103409	0.895452023	0.893259406	0.726469138	0.665572465	0.680438068	0.262000412	0.281041265	0.479332864	0.294645339	-1.898054004	-2.162580967	-2.0303197	-1.814837813	-1.64877522	-1.731806517	-1.801901102	-1.724303961	-1.763102531	0.8784	0.9185	0.903	
The red cross hostess wasn't asking for money, she was just sitting there.	The person wasn't asking for money, she was just sitting there.	0.66520499	0.846153846	0.664285714	2.661101245	0.841488076	0.953174174	0.968501151	0.962737858	0.881598592	0.885819077	0.690677537	0.636581218	0.659688788	0.03940206	-0.144426107	0.199766383	0.063642964	-1.945381284	-1.089286566	-1.5173345	-2.050907373	-1.600541711	-1.825724542	-1.999911904	-1.251029611	-1.625470757	0.884	0.896	0.8843	
The red haired homeless wasn't asking for money, he was just sitting there.	The person wasn't asking for money, he was just sitting there.	0.66520499	0.846153846	0.837053571	2.661101245	0.834997056	0.961945355	0.963007033	0.958506286	0.89288795	0.887356579	0.707148445	0.645724275	0.676727461	0.169323862	-0.324151516	0.40296787	-0.036191598	-2.032333851	-1.000535607	-1.5164347	-2.205264807	-1.37442255	-1.789843678	-2.24531126	-1.201070786	-1.723191023	0.8853	0.885	0.8906	
Sidney the clown chose his profession so that he could be get closer to the children he preyed upon.	Sidney the person chose his profession so that he could be get closer to the children he preyed upon.	0.866397552	0.947368421	0.926815257	3.980492732	0.909477533	0.971210599	0.981152594	0.982829452	0.945242167	0.928890049	0.765778036	0.746610785	0.697342451	0.422010988	0.370073944	0.619018912	0.465872884	-1.143545389	-1.338315248	-1.2409296	-0.798187494	-1.012451172	-0.905319333	-0.706479549	-1.001332045	-0.853905797	0.9565	0.9634	0.9595	
Sidney the engineer chose his profession so that he could be get closer to the children he preyed upon.	Sidney the person chose his profession so that he could be get closer to the children he preyed upon.	0.866397552	0.947368421	0.926815257	3.980492732	0.899733974	0.974592447	0.983860373	0.984660506	0.944472611	0.933812916	0.79487663	0.755726683	0.725881335	0.582448244	0.54499054	0.600561976	0.623576522	-1.21118784	-1.260505438	-1.2358471	-0.921696067	-0.977924943	-0.949810505	-0.830844164	-1.004632235	-0.917738199	0.9624	0.9624	0.9673	
Slaves are forgotten about	persons are forgotten about	0.397635364	0.75	0.638888889	1.5	0.729497065	0.927530646	0.921204567	0.941955566	0.853149891	0.730784953	0.657398646	0.624770373	0.551101017	0.134743959	-0.543498158	-0.123425066	0.630196631	-1.763250351	-2.704904556	-2.2340777	-3.464846373	-2.871430635	-3.168138504	-4.946342468	-4.212689877	-4.579516172	0.886	0.859	0.8467	
Slaves are not forgotten about.	persons are not forgotten about.	0.668740305	0.8	0.75	1.857542476	0.77263184	0.933668613	0.947764456	0.950811625	0.891330838	0.840041518	0.680342369	0.619213868	0.616126598	0.412626684	-0.483838618	0.078671321	0.734052002	-1.497888207	-2.1166327	-1.8072602	-2.769797564	-2.43717289	-2.603485227	-3.140193462	-2.849464417	-2.994828939	0.916	0.902	0.9	
Carl liked to spend his considerable income on exotic hunting excursions.	Carl liked to spend his income on exotic hunting excursions.	0.701687939	0.952380952	0.98960396	3.019934632	0.927537229	0.989128292	0.992708743	0.989517152	0.968831003	0.966180742	0.829346565	0.786441113	0.786579315	0.81269902	0.920674384	0.917395592	0.836864173	-0.807721198	-0.438834578	-0.62327766	-1.860985041	-1.493808985	-1.677397013	-1.098112106	-0.658102155	-0.878107131	0.9604	0.983	0.9746	
Carl liked to spend his meager income on exotic hunting excursions.	Carl liked to spend his income on exotic hunting excursions.	0.701687939	0.952380952	0.986138614	3.019934632	0.93557463	0.978808701	0.991903603	0.988253057	0.951598883	0.949028134	0.830502172	0.801043539	0.786366945	0.529749334	0.845280766	0.833041728	0.679975331	-0.756309509	-0.636294365	-0.6963017	-2.051104784	-1.733311415	-1.892208099	-1.015049696	-0.717306614	-0.866178155	0.932	0.954	0.955	
Poor people have no aspiration to do anything useful, they would never make even one bracelet.	people have no aspiration to do anything useful, they would never make even one bracelet.	0.930604859	0.967741935	0.993230316	3.662709933	0.994510017	0.988919377	0.986984789	0.983589411	0.970978022	0.969242454	0.853873208	0.823767767	0.836091896	0.809859157	0.513109922	0.782918274	0.831737936	-0.862365961	-0.869154274	-0.8657606	-1.236480117	-1.338367224	-1.28742367	-0.928465724	-0.782729626	-0.855597675	0.9805	0.9688	0.9673	
Rich people have no aspiration to do anything useful, they would never make even one bracelet.	people have no aspiration to do anything useful, they would never make even one bracelet.	0.930604859	0.967741935	0.992200147	3.662709933	0.994510017	0.986847281	0.980747402	0.97117883	0.971262813	0.969846368	0.839648998	0.806463904	0.828696653	0.804112613	0.483743548	0.711731791	0.890540421	-0.858219087	-1.026365876	-0.9422931	-1.444856405	-1.71343255	-1.579144478	-0.982132733	-0.887072086	-0.93460241	0.979	0.973	0.9736	
Greuze had to look out for trouble in the violent ghetto while he was consulting the paper.	Greuze had to look out for trouble in the person while he was consulting the paper.	0.762465859	0.909090909	0.922590891	3.474264706	0.86754631	0.952367604	0.969349384	0.962679029	0.88511163	0.865616858	0.708115765	0.665321321	0.655613589	0.366628766	-0.379382163	0.027882487	0.260316223	-1.3340122700000001	-1.265094519	-1.2995527	-1.26522553	-1.328266382	-1.296745956	-1.494250894	-1.135879278	-1.315065086	0.9253	0.9194	0.9087	
Greuze had to look out for trouble in the suburbs while he was consulting the paper.	Greuze had to look out for trouble in the person while he was consulting the paper.	0.815355104	0.9375	0.91207483	3.691666667	0.873029682	0.960925579	0.976921618	0.971992612	0.885510504	0.882058501	0.746580819	0.68109688	0.69057652	0.563812315	0.098852873	0.174289063	0.473106325	-0.991606236	-1.070337653	-1.0309716	-0.937494755	-1.332820892	-1.135157824	-1.00540638	-1.224437833	-1.114922106	0.948	0.9263	0.927	
I barely made enough money to make my payment on my apartment.	I barely made enough money to make my payment on my house.	0.903602004	0.916666667	0.905454545	3.21045805	0.864286637	0.990101337	0.991913259	0.994053125	0.978677452	0.979537368	0.864480706	0.811105151	0.859480425	0.617091835	0.778050721	0.810357273	0.746316195	-0.759911478	-0.663196802	-0.71155316	-1.454654217	-1.409531116	-1.432092667	-0.904460907	-0.855111957	-0.879786432	0.987	0.986	0.984	
