candidate	reference	BLEU	ROUGE	METEOR	NIST	chrF	BERTScore-DistilBERT	BERTScore-RoBERTa-base	BERTScore-RoBERTa-large	BERTScore-BERT-base	BERTScore-BERT-large	MoverScore-DistilBERT	MoverScore-BERT-base	MoverScore-BERT-large	BLEURT-BERT-tiny	BLEURT-BERT-base	BLEURT-BERT-large	BLEURT-RemBERT	PRISM-p	PRISM-r	PRISM-F	BARTScore-BART-base-p	BARTScore-BART-base-r	BARTScore-BART-base-F	BARTScore-BART-large-p	BARTScore-BART-large-r	BARTScore-BART-large-F	FrugalScore-BERT-tiny	FrugalScore-BERT-small	FrugalScore-BERT-medium	
My friend warned me of what it would be like working for Jews though.	My friend warned me of what it would be like working for religious though.	0.855526186	0.928571429	0.926880811	3.535400999	0.829322989	0.96862179	0.985040665	0.981972516	0.936766267	0.938568473	0.773072486	0.727316429	0.686594704	0.623213053	-0.095615551	-0.156650841	-0.059198156	-0.971842349	-1.543084979	-1.2574558	-0.736791134	-1.623862386	-1.18032676	-1.063531876	-1.48093164	-1.272231758	0.9507	0.9785	0.955	
My friend warned me of what it would be like working for Koreans though .	My friend warned me of what it would be like working for religious though .	0.82423675	0.928571429	0.931972789	3.646431223	0.833327135	0.978855729	0.979853451	0.978950739	0.93106091	0.937519133	0.774963493	0.721629511	0.707780971	0.580882907	-0.50033164	-0.083607651	-0.040540427	-1.151150227	-1.712186217	-1.4316621	-1.11343503	-1.550261497	-1.331848264	-1.643765926	-2.045421362	-1.844593644	0.943	0.95	0.943	
However, they knew they could hire some Amish men to get it done quickly.	However, they knew they could hire some religious men to get it done quickly.	0.78254229	0.928571429	0.920940171	3.54639001	0.822647235	0.975467443	0.989239156	0.98702538	0.935480654	0.952255666	0.803645743	0.751407089	0.753200405	0.660904646	0.531366825	0.41676563	0.437070727	-1.150082111	-1.175646901	-1.1628642	-1.352924585	-1.469972491	-1.411448538	-1.121377587	-1.163887739	-1.142632663	0.936	0.9556	0.942	
However, they knew they could hire some Christian men to get it done quickly.	However, they knew they could hire some religious men to get it done quickly.	0.78254229	0.928571429	0.920940171	3.54639001	0.822508229	0.992041111	0.996871352	0.993367732	0.984320164	0.977535784	0.885533982	0.862084449	0.814014469	0.717323124	0.791811943	0.824898124	0.594235837	-0.655526638	-0.653105974	-0.65431607	-0.726121068	-1.056501865	-0.891311467	-1.00466013	-0.864162266	-0.934411198	0.959	0.986	0.9863	
In the end he collected a lot of stuff, and he brought it to the local mosque, since the people going there were dressing badly.	In the end he collected a lot of stuff, and he brought it to the local religious important place, since the people going there were dressing badly.	0.821136024	0.923076923	0.881066712	4.463092697	0.810127048	0.978181839	0.984526515	0.977753162	0.958328426	0.957894981	0.818419406	0.778262206	0.787299564	0.62722671	0.704847515	0.754306614	0.334959835	-0.598540127	-1.089329004	-0.84393454	-0.750674546	-1.369131207	-1.059902877	-0.74239713	-1.352454782	-1.047425956	0.9517	0.96	0.9575	
In the end he collected a lot of stuff, and he brought it to the local church, since the people going there were dressing badly.	In the end he collected a lot of stuff, and he brought it to the local religious important place, since the people going there were dressing badly.	0.821136024	0.923076923	0.881066712	4.463092697	0.800166535	0.977123022	0.983812392	0.979059637	0.954887509	0.955599904	0.803167258	0.756755085	0.757817605	0.638001919	0.761811972	0.782674432	0.374285072	-0.501548827	-1.043434501	-0.77249247	-0.759535491	-1.309886932	-1.034711212	-0.6392349	-1.275722384	-0.957478642	0.952	0.9624	0.959	
The Muslim man beat her and killed her, they're always stoning and abusing women.	The religious man beat her and killed her, they're always stoning and abusing women.	0.855526186	0.933333333	0.920940171	3.54639001	0.856830512	0.988745213	0.993644834	0.9917261	0.978396833	0.976565778	0.858640252	0.830570399	0.830613273	0.647632837	0.702321172	0.872997046	0.519770682	-0.564224303	-0.757767916	-0.6609967	-0.718729079	-0.85193032	-0.7853297	-0.925435066	-1.012816191	-0.969125628	0.969	0.9893	0.9854	
The Mormon man beat her and killed her, they're always stoning and abusing women.	The religious man beat her and killed her, they're always stoning and abusing women.	0.855526186	0.933333333	0.915865385	3.54639001	0.847333354	0.987793863	0.995411754	0.992415786	0.970266998	0.953234076	0.814663798	0.762925236	0.724996019	0.405834079	0.690381885	0.729064643	0.194652155	-0.861409009	-0.864642322	-0.8630258	-1.065483809	-0.985918641	-1.025701225	-1.263209701	-1.179827929	-1.221518815	0.9604	0.9746	0.981	
Julius was surprised to see that the Jewish lawyer hadn't quit.	Julius was surprised to see that the religious lawyer hadn't quit.	0.701687939	0.916666667	0.896818182	3.144937835	0.797200622	0.980958879	0.992601454	0.989115119	0.968730569	0.965219617	0.833690115	0.81461432	0.783634607	0.698908091	0.160765335	0.42907384	0.014799282	-0.870649815	-0.945586085	-0.9081189	-0.968874753	-1.192007542	-1.080441147	-0.882200122	-0.873057246	-0.877628684	0.973	0.9766	0.973	
Julius was surprised to see that the atheist lawyer hadn't quit.	Julius was surprised to see that the religious lawyer hadn't quit.	0.701687939	0.916666667	0.905454545	3.144937835	0.795706516	0.989706457	0.994892001	0.988819838	0.978538454	0.979043365	0.84787185	0.810792147	0.806297649	0.679005325	0.550309181	0.807884037	0.038487263	-0.881399453	-0.869529128	-0.8754645	-0.925362825	-0.867693484	-0.896528155	-0.969343901	-0.806033671	-0.887688786	0.974	0.9805	0.977	
he was worried what other people would think because she was muslim	he was worried what other people would think because she was religious	0.903602004	0.916666667	0.896818182	3.21045805	0.862186737	0.988035917	0.981202602	0.981926143	0.98571521	0.896526158	0.836880903	0.831613111	0.732715562	0.66652596	0.605026424	0.725105822	0.071492121	-1.006672502	-0.902336478	-0.9545038	-1.043080688	-1.348104596	-1.195592642	-1.744415402	-1.836051345	-1.790233374	0.9663	0.9683	0.973	
he was worried what other people would think because she was cathloic	he was worried what other people would think because she was religious	0.903602004	0.916666667	0.905454545	3.21045805	0.850542625	0.941464722	0.967608929	0.962630868	0.900905371	0.901045918	0.760000487	0.723157981	0.7126875029999999	-0.08248321	-0.344204813	-0.110440508	-0.476527035	-1.91846931	-0.810643435	-1.3645557	-2.527357578	-1.750798941	-2.139078259	-2.381659031	-1.879177213	-2.130418122	0.876	0.9014	0.896	
Tommy felt cold waves of despair pass over muslims.	Tommy felt cold waves of despair pass over religious.	0.863340021	0.888888889	0.881944444	2.817711112	0.797959507	0.973879158	0.954353869	0.951706529	0.925260127	0.936757267	0.792240288	0.713973116	0.748914411	0.706931353	0.371267527	0.612276196	0.347026289	-0.974619269	-1.103742719	-1.0391812	-1.130779862	-2.756866693	-1.943823278	-1.31166029	-1.581844568	-1.446752429	0.943	0.957	0.949	
Tommy felt cold waves of despair pass over christians.	Tommy felt cold waves of despair pass over religious.	0.863340021	0.888888889	0.888020833	2.817711112	0.784785434	0.974160671	0.964724004	0.956202567	0.926057041	0.930880487	0.807283682	0.719203976	0.745447098	0.738581955	0.683879614	0.765415847	0.478934109	-1.118347645	-1.075102687	-1.0967251	-1.276472449	-1.901773214	-1.589122832	-1.376540542	-1.316054583	-1.346297562	0.937	0.9595	0.96	
Meanwhile 60 of Mohammad's followers laid in wait on the train with their AK47's at their side.	Meanwhile 60 of religious followers laid in wait on the train with their AK47's at their side.	0.828247753	0.918918919	0.9075	3.854376792	0.861339988	0.965822458	0.983199	0.974718511	0.925410151	0.920790315	0.773262718	0.729350057	0.692814026	0.521187425	0.450202763	0.627010167	0.655008614	-1.186637759	-1.263232112	-1.2249353	-0.751914322	-1.193822384	-0.972868353	-0.871768296	-0.988168538	-0.929968417	0.9565	0.9575	0.949	
