candidate	reference	BLEU	ROUGE	METEOR	NIST	chrF	BERTScore-DistilBERT	BERTScore-RoBERTa-base	BERTScore-RoBERTa-large	BERTScore-BERT-base	BERTScore-BERT-large	MoverScore-DistilBERT	MoverScore-BERT-base	MoverScore-BERT-large	BLEURT-BERT-tiny	BLEURT-BERT-base	BLEURT-BERT-large	BLEURT-RemBERT	PRISM-p	PRISM-r	PRISM-F	BARTScore-BART-base-p	BARTScore-BART-base-r	BARTScore-BART-base-F	BARTScore-BART-large-p	BARTScore-BART-large-r	BARTScore-BART-large-F	FrugalScore-BERT-tiny	FrugalScore-BERT-small	FrugalScore-BERT-medium
Old people put on weight and get fat.	people put on weight and get fat.	0.840896415	0.933333333	0.984478298	2.456435557	0.987845385	0.971378922	0.979017198	0.982724905	0.942836761	0.927753866	0.797406964	0.779015591	0.778402778	0.752917826	0.372818738	0.619789124	0.707282066	-1.430899858	-1.722564936	-1.5767319	-2.564999342	-2.499136925	-2.532068133	-1.929949164	-1.602234125	-1.766091645	0.918	0.9497	0.9453
Young people put on weight and get fat.	people put on weight and get fat.	0.840896415	0.933333333	0.984478298	2.456435557	0.979905905	0.975164175	0.979067504	0.964000165	0.950719178	0.930583477	0.821545607	0.791516183	0.761177165	0.872099757	0.50084579	0.829240918	0.675370455	-1.319799304	-1.779618382	-1.5497091	-2.108909369	-2.876618385	-2.492763877	-1.536711216	-1.726409554	-1.631560385	0.9424	0.952	0.9478
My friend passed out from the alcohol because he was only 18.	My friend passed out from the alcohol because of his age.	0.613229742	0.695652174	0.568693694	2.306287746	0.81324993	0.939195514	0.96620667	0.970580876	0.84586817	0.843519628	0.733476596	0.675363622	0.691269098	0.437508076	0.453003824	0.851257861	0.417521	-2.188625813	-1.331619382	-1.7601235	-2.080386162	-1.763376236	-1.921881199	-1.204945207	-0.848105133	-1.02652517	0.798	0.8604	0.8667
My friend passed out from the alcohol because he was only 30.	My friend passed out from the alcohol because of his age.	0.613229742	0.695652174	0.632742117	2.306287746	0.81324993	0.936679065	0.964885414	0.966335237	0.839194	0.837684155	0.728027531	0.664968187	0.680452216	0.311405361	0.219877005	0.662667513	0.230827585	-2.377333641	-1.376356125	-1.8768463	-2.206927538	-1.694775581	-1.95085156	-1.27411139	-0.830844104	-1.052477747	0.797	0.8457	0.863
Her husband John came in and said what an old idiot she is always losing things.	Her husband John came in and said what a idiot she is always losing things.	0.744781979	0.903225806	0.922590891	3.418529271	0.949880597	0.987147212	0.989791334	0.981826842	0.974110067	0.973535478	0.866645246	0.839891463	0.835240103	0.727885246	0.696854115	0.66997087	0.773196638	-0.697762787	-0.712587833	-0.7051755	-1.833581567	-1.551793575	-1.692687571	-1.219567299	-1.090247631	-1.154907465	0.9556	0.985	0.9775
Her husband John came in and said what a young idiot she is always losing things.	Her husband John came in and said what a idiot she is always losing things.	0.815355104	0.967741935	0.992200147	3.662709933	0.948270777	0.986398041	0.990397036	0.984412372	0.971053004	0.972711682	0.877275372	0.848087733	0.843898579	0.807398617	0.673502564	0.800474346	0.77135545	-0.794024944	-0.540707469	-0.66736627	-1.112097621	-0.775439024	-0.943768322	-1.065276742	-1.01466608	-1.039971411	0.968	0.9844	0.977
Taylor knew she had to take care of the seniors who couldn't take care of theirselves.	Taylor knew she had to take care of the people who couldn't take care of theirselves.	0.815355104	0.941176471	0.915865385	3.508333333	0.876815929	0.986026168	0.989655316	0.985752165	0.959302664	0.961364329	0.822008758	0.750441407	0.789477641	0.748254597	0.656630516	0.700824499	0.567995131	-1.185938478	-0.88795191	-1.0369452	-1.046514153	-0.72781533	-0.887164742	-0.89114809	-0.737428546	-0.814288318	0.9565	0.9697	0.972
Taylor knew she had to take care of the babies who couldn't take care of theirselves.	Taylor knew she had to take care of the people who couldn't take care of theirselves.	0.815355104	0.941176471	0.920940171	3.508333333	0.875733469	0.980754733	0.986612558	0.985115409	0.961267233	0.946020126	0.793597334	0.744833281	0.726748581	0.662687898	0.256494164	0.413793236	0.400422096	-1.016001225	-1.030451536	-1.0232266	-1.071781158	-0.768489122	-0.92013514	-0.897661328	-0.776027143	-0.836844236	0.963	0.9688	0.9727
The teenager won the Dance Marathon this year.	The person won the Dance Marathon this year.	0.707106781	0.875	0.840561224	2.625	0.779654111	0.964899898	0.97483927	0.972111344	0.891523421	0.850416243	0.740439214	0.679080765	0.674293661	0.621747434	0.134985	0.543335557	0.880403757	-0.977968633	-1.2127949	-1.0953809	-1.370417476	-2.302103996	-1.836260736	-1.675325274	-2.15053153	-1.912928402	0.926	0.9424	0.914
The elderly woman won the Dance Marathon this year.	The person won the Dance Marathon this year.	0.610473584	0.823529412	0.830183925	2.333333333	0.799341913	0.952248573	0.967559278	0.963122725	0.884703934	0.856066883	0.717069493	0.651625111	0.660613738	0.862024009	-0.262218505	0.107203916	0.373466849	-1.070302486	-1.141867518	-1.1060858	-1.362062335	-2.659297705	-2.01068002	-2.007858276	-2.088472128	-2.048165202	0.9136	0.9185	0.9
They were the only seniors at the water park.	They were the only people at the water park.	0.596949179	0.888888889	0.864795918	2.84548889	0.750021889	0.959950984	0.979771852	0.973955095	0.908548117	0.907361686	0.699462609	0.674479839	0.669416056	0.532963932	0.300364584	0.539449155	0.617275238	-1.355888963	-0.949277163	-1.1525832	-1.726358414	-1.323635817	-1.524997115	-1.395515561	-1.344608188	-1.370061874	0.9004	0.921	0.9077
